"Reference","Qty","Value","part number","price","manufacturer","link"
"BAT+1","1","BAT+","","","",""
"BAT-1","1","BAT-","","","",""
"C1,C25,C26","3","33pF","GRM1885C1H330JA01D","0.0056","murata","https://www.lcsc.com/product-detail/C77035.html?s_z=n_GRM1885C1H330JA01D"
"C2,C3,C7,C21","4","10nf","GRM188R71H103KA01D","0.0046","murata","https://www.lcsc.com/product-detail/C77053.html?s_z=n_GRM188R71H103KA01D"
"C4,C20,C27","3","100nf","GRM188R71C104KA01D","0.0083","murata","https://www.lcsc.com/product-detail/C45000.html?s_z=n_GRM188R71C104KA01D"
"C5,C6","2","15pf","GRM1885C1H150JA01D","0.0057","murata","https://www.lcsc.com/product-detail/C71651.html?s_z=n_GRM1885C1H150JA01D"
"C8,C22","2","0.1uf","GRM188R71C104KA01D","0.0083","murata","https://www.lcsc.com/product-detail/C45000.html?s_z=n_GRM188R71C104KA01D"
"C9,C23","2","1uf","GCM188R71E105KA64D","0.0176","murata","https://www.lcsc.com/product-detail/C85862.html?s_z=n_GCM188R71E105KA64D"
"C10,C24","2","10uf","GRM188R60J106KE47D","0.0116","murata","https://www.lcsc.com/product-detail/C77040.html?s_z=n_GRM188R60J106KE47D"
"C11,C12","2","220uF","6R3AVCA221M0645E20","0.0567","APAQ","https://www.lcsc.com/product-detail/C5379968.html?s_z=n_6R3AVCA221M0645E20"
"C13,C14,C15,C16,C17","5","100uF","GRM31CR60J107ME39L","0.0986","murata",""
"C18","1","47uf","GRM188R60J476ME15D","0.0558","","https://www.lcsc.com/product-detail/C140782.html?s_z=n_GRM188R60J476ME15D"
"C19","1","33pf","GRM1885C1H330JA01D","0.0056","murata","https://www.lcsc.com/product-detail/C77035.html?s_z=n_GRM1885C1H330JA01D"
"D1","1","ESDA6V1SC5","ESDA6V1SC5","0.2129","ST","https://www.lcsc.com/product-detail/C2935146.html?s_z=n_ESDA6V1SC5"
"D2,D3,D4","3","KUU SS36","SS36","0.0376","KUU","https://www.lcsc.com/product-detail/C2909916.html?s_z=n_KUU_SS36"
"D5","1","MMBZ6V8ALT1G","","","",""
"FB1","1","muRata BLM21PG221SN1D","BLM21PG221SN1D","0.0166","murata","https://www.lcsc.com/product-detail/C85840.html?s_z=n_BLM21PG221SN1D"
"J1","1","U.FL-R-SMT_10_","U.FL-R-SMT-1(80)","0.1257","HRS","https://www.lcsc.com/product-detail/C88374.html?s_z=n_U.FL-R-SMT-1%2880%29"
"J2","1","MICROQTJ","MicroQTJ","0.0320","SHOU HAN","https://www.lcsc.com/product-detail/C404968.html?s_z=n_micro%2520qtj"
"NANO-SIM-0501A-P1","1","NANO-SIM-0501A-P","NANO-SIM-0501A-P","0.0852"," Zhongdi",""
"Q1,Q2","2","DTC143ZUAT106","DTC143ZUAT106","0.0318","ROHM",""
"Q3","1","DMP2035U-7","DMP2035U-7","0.0635","DIODES",""
"Q4,Q5,Q6","3","BSS138","BSS138-7-F","0.0286","diodes","https://www.lcsc.com/product-detail/C40912.html?s_z=n_BSS138-7-F"
"R1,R2,R3,R17","4","0","CRCW06030000Z0EA","0.0026","VISHAY","https://www.lcsc.com/product-detail/C844915.html"
"R4,R5,R6,R9,R10,R11,R12,R13,R14,R15,R16","11","10k","CRCW060310K0FKEA","0.0043","VISHAY","https://www.lcsc.com/product-detail/C844918.html"
"R7,R8","2","22","CRCW060322R0FKEA","0.0046","VISHAY","https://www.lcsc.com/product-detail/C71618.html?s_z=n_22%2520ohm%2520vishay%25200603"
"S1,S2","2","TS-1088-AR02016","TS-1088-AR02016","0.0426","XUNPU","https://www.lcsc.com/product-detail/C720477.html?s_z=n_TS-1088-AR02016"
"U1","1","ESP32-C3FH4","ESP32-C3FH4","2.334","ESPRESSIF",""
"U3","1","TP4057","TP4057","0.333","UMW",""
"U4","1","EG800KEULC-I03-SNNSA","Quectel EG800K-LA","14.00","Quectel",""
"U5","1","DIODES AP2210N-3.3TRG1","AP2210N-3.3TRG1","0.1114","DIODES","https://www.lcsc.com/product-detail/C155508.html?s_z=n_DIODES%2520AP2210N-3.3TRG1"
"XTAL1","1","40MHz","XL2EL89CPI-111YLC-40M","0.0588","YXC Crystal Oscillators","https://www.lcsc.com/product-detail/C5444549.html?s_z=n_XL2EL89CPI-111YLC-40M"
"U2","1","SIM33ELA","SIM33ELA","6.8316","SIMCom","https://www.lcsc.com/product-detail/C6488289.html?s_z=n_SIM33ELA"
