Designator,Footprint,Quantity,Value,LCSC Part #
,,1,,
BAT+1,SolderWirePad_1x01_SMD_2x4mm,1,BAT+,
BAT-1,SolderWirePad_1x01_SMD_2x4mm,1,BAT-,
"C1, C19, C25, C26",0603,4,33pF,
"C10, C24",0603,2,10uf,
"C11, C12",CP_Elec_6.3x4.5,2,220uF,
"C13, C14, C15, C16, C17",1210,5,100uF,
C18,0603,1,47uf,
"C2, C21, C3, C7",0603,4,10nf,
"C20, C27, C4",0603,3,100nf,
"C22, C8",0603,2,0.1uf,
"C23, C9",0603,2,1uf,
"C5, C6",0603,2,15pf,
D1,SOT-23-5,1,ESDA6V1SC5,
"D2, D3, D4",D_SOD-123F,3,KUU SS36,
D5,D_SOD-123F,1,SMFJ5.0A,
J1,U.FL-R-SMT_10_-foot,1,U.FL-R-SMT_10_,
J2,MICROQTJ-foot,1,MICROQTJ,
NANO-SIM-0501A-P1,nano-sim-0501a-p_foot,1,NANO-SIM-0501A-P,C29780392
"Q1, Q2",SOT-323_SC-70,2,DTC143ZUAT106,
Q3,SOT-23,1,DMP2035U-7,
"Q4, Q5, Q6",SOT-23,3,BSS138,
"R1, R18, R2, R3",0603,4,0,
"R10, R11, R12, R13, R14, R15, R16, R4, R5, R6, R9",0603,11,10k,
R17,0603,1,15k,
"R7, R8",0603,2,22,
"S1, S2",SW_TS-1088-AR02016,2,TS-1088-AR02016,
U1,ESP32-C3FH4_foot,1,ESP32-C3FH4,
U2,SIM33ELA_v2,1,SIM33ELA,C6488289
U3,TSOT-23-6,1,TP4057,
U4,Quectel_EG800K_foot,1,EG800KEULC-I03-SNNSA,
U5,SOT-23,1,DIODES AP2210N-3.3TRG1,
XTAL1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,40MHz,
