Designator,Mid X,Mid Y,Rotation,Layer
,83.55,-48.4,0.0,top
C1,89.434847,-23.172833,90.0,bottom
C10,86.725,-68.725,270.0,bottom
C11,80.85,-74.575,180.0,top
C12,80.85,-67.475,180.0,top
C13,77.95,-60.775,270.0,top
C14,81.15,-60.775,270.0,top
C15,84.35,-60.775,270.0,top
C16,87.55,-60.775,270.0,top
C17,90.75,-60.775,270.0,top
C18,80.684847,-23.3,270.0,top
C19,82.159847,-23.3,270.0,top
C2,90.000026,-58.099972,180.0,bottom
C20,83.634847,-23.3,270.0,top
C21,85.1,-23.299667,270.0,top
C22,86.56,-23.299667,270.0,top
C23,88.035,-23.299667,270.0,top
C24,89.51,-23.299667,270.0,top
C25,92.275,-33.03,0.0,bottom
C26,92.275,-34.5,0.0,bottom
C27,92.275,-35.975,0.0,bottom
C3,86.575026,-58.112472,180.0,bottom
C4,94.125,-59.125,0.0,bottom
C5,87.2875,-71.125,180.0,bottom
C6,87.2875,-72.625,0.0,bottom
C7,88.225,-68.725,270.0,bottom
C8,83.725,-68.725,270.0,bottom
C9,85.225,-68.725,270.0,bottom
D1,85.312347,-36.867833,90.0,bottom
D2,86.525,-75.8,270.0,top
D3,86.525,-71.475,270.0,top
D4,86.525,-67.175,270.0,top
D5,77.925,-36.774667,270.0,bottom
J1,93.199847,-25.0625,0.0,top
J2,91.78,-74.025,0.0,top
NANO-SIM-0501A-P1,83.537347,-28.280333,180.0,bottom
Q1,90.0,-60.8,90.0,bottom
Q2,86.575026,-60.799972,90.0,bottom
Q3,84.8225,-76.14925,0.0,bottom
Q4,80.36875,-44.275,0.0,bottom
Q5,80.36875,-47.725,0.0,bottom
Q6,80.36875,-40.825,0.0,bottom
R1,87.862347,-36.242833,90.0,bottom
R10,82.13675,-76.1525,90.0,bottom
R11,77.70625,-44.275,90.0,bottom
R12,77.70625,-47.725,90.0,bottom
R13,77.70625,-40.825,90.0,bottom
R14,83.05625,-44.275,270.0,bottom
R15,83.05625,-47.725,270.0,bottom
R16,83.05625,-40.825,270.0,bottom
R17,92.275,-37.45,0.0,bottom
R18,77.925,-23.975,0.0,top
R2,77.634847,-23.222833,90.0,bottom
R3,81.912347,-35.880333,0.0,bottom
R4,94.125,-62.075,0.0,bottom
R5,94.125,-57.625,0.0,bottom
R6,80.65,-76.15,90.0,bottom
R7,95.4,-71.675,270.0,bottom
R8,93.9,-71.675,270.0,bottom
R9,94.125,-60.6,0.0,bottom
S1,94.425,-66.15,270.0,top
S2,91.0,-66.175,270.0,top
U1,93.025,-66.17,180.0,bottom
U2,83.805,-52.825,90.0,top
U3,78.16,-76.03675,90.0,bottom
U4,86.107359,-36.8625,0.0,top
U5,80.875,-68.6125,180.0,bottom
XTAL1,90.7,-71.525,270.0,bottom
